0,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,DSL,Fiber optic,NoInternet,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0
1,1,0,0,0,34,1,0,1,0,0,1,0,1,0,0,0,0,56.95,1889.50,0
2,1,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,1,53.85,108.15,1
3,1,0,0,0,45,0,0,1,0,0,1,0,1,1,0,0,0,42.30,1840.75,0
4,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,70.70,151.65,1
5,0,0,0,0,8,1,1,0,1,0,0,0,1,0,1,1,1,99.65,820.50,1
6,1,0,0,1,22,1,1,0,1,0,0,1,0,0,1,0,1,89.10,1949.40,0
7,0,0,0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,29.75,301.90,0
8,0,0,1,0,28,1,1,0,1,0,0,0,1,1,1,1,1,104.80,3046.05,1
9,1,0,0,1,62,1,0,1,0,0,1,1,0,0,0,0,0,56.15,3487.95,0
10,1,0,1,1,13,1,0,1,0,0,1,0,0,0,0,0,1,49.95,587.45,0
11,1,0,0,0,16,1,0,0,0,1,0,0,0,0,0,0,0,18.95,326.80,0
12,1,0,1,0,58,1,1,0,1,0,0,0,1,0,1,1,0,100.35,5681.10,0
13,1,0,0,0,49,1,1,0,1,0,0,1,1,0,1,1,1,103.70,5036.30,1
14,1,0,0,0,25,1,0,0,1,0,1,0,1,1,1,1,1,105.50,2686.05,0
15,0,0,1,1,69,1,1,0,1,0,1,1,1,1,1,1,0,113.25,7895.15,0
16,0,0,0,0,52,1,0,0,0,1,0,0,0,0,0,0,0,20.65,1022.95,0
17,1,0,0,1,71,1,1,0,1,0,1,0,1,0,1,1,0,106.70,7382.25,0
18,0,0,1,1,10,1,0,1,0,0,0,0,1,1,0,0,0,55.20,528.35,1
19,0,0,0,0,21,1,0,0,1,0,0,1,1,0,0,1,1,90.05,1862.90,0
20,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1
21,1,0,1,0,12,1,0,0,0,1,0,0,0,0,0,0,0,19.80,202.25,0
22,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,20.15,20.15,1
23,0,0,1,0,58,1,1,1,0,0,0,1,0,1,0,0,1,59.90,3505.10,0
24,1,0,1,1,49,1,0,1,0,0,1,1,0,1,0,0,0,59.60,2970.30,0
25,0,0,0,0,30,1,0,1,0,0,1,1,0,0,0,0,1,55.30,1530.60,0
26,1,0,1,1,47,1,1,0,1,0,0,1,0,0,1,1,1,99.35,4749.15,1
27,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,30.20,30.20,1
28,1,0,1,0,72,1,1,1,0,0,1,1,1,1,1,1,1,90.25,6369.45,0
29,0,0,0,1,17,1,0,1,0,0,0,0,0,0,1,1,1,64.70,1093.10,1
30,0,1,1,0,71,1,1,0,1,0,1,1,1,1,0,0,1,96.35,6766.95,0
31,1,1,1,0,2,1,0,0,1,0,0,0,1,0,1,1,1,95.50,181.65,0
32,0,0,1,1,27,1,0,1,0,0,1,1,1,1,0,0,0,66.15,1874.45,0
33,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,20.20,20.20,0
34,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,45.25,45.25,0
35,0,0,1,1,72,1,1,0,1,0,1,1,0,1,1,0,0,99.90,7251.70,0
36,1,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,1,69.70,316.90,1
37,0,0,0,0,46,1,0,0,1,0,0,0,1,0,0,0,1,74.80,3548.30,0
38,1,0,0,0,34,1,1,0,1,0,0,1,1,0,1,1,1,106.35,3549.25,1
39,0,0,0,0,11,1,1,0,1,0,0,0,1,0,1,1,1,97.85,1105.40,1
40,1,0,1,1,10,1,0,1,0,0,0,1,0,0,0,0,0,49.55,475.70,0
41,0,0,1,1,70,1,1,1,0,0,1,1,0,0,1,0,1,69.20,4872.35,0
42,0,0,1,1,17,1,0,0,0,1,0,0,0,0,0,0,0,20.75,418.25,0
43,0,0,0,0,63,1,1,1,0,0,1,1,1,1,1,0,1,79.85,4861.45,0
44,0,0,1,0,13,1,1,1,0,0,1,1,0,1,1,0,1,76.20,981.45,0
45,0,0,0,0,49,1,1,0,1,0,0,0,0,0,0,1,1,84.50,3906.70,0
46,1,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,49.25,97.00,0
47,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,80.65,144.15,1
48,1,0,0,0,52,1,1,1,0,0,1,0,0,1,1,1,1,79.75,4217.80,0
49,0,0,1,1,69,1,1,1,0,0,1,0,1,1,0,0,1,64.15,4254.10,0
50,0,1,0,0,43,1,1,0,1,0,0,1,0,0,1,0,1,90.25,3838.75,0
51,0,0,0,0,15,1,0,0,1,0,1,1,0,0,1,1,1,99.10,1426.40,1
52,0,1,1,0,25,1,1,1,0,0,1,0,0,1,1,0,1,69.50,1752.65,0
53,0,1,1,0,8,1,1,0,1,0,0,1,0,0,0,0,1,80.65,633.30,1
54,0,1,1,1,60,1,0,1,0,0,1,1,1,1,0,1,1,74.85,4456.35,0
55,1,1,0,0,18,1,1,0,1,0,0,0,0,0,1,1,1,95.45,1752.55,1
56,0,0,1,1,63,1,1,0,1,0,1,0,0,0,1,1,1,99.65,6311.20,0
57,1,1,1,1,66,1,1,0,1,0,0,1,1,1,1,1,1,108.45,7076.35,0
58,0,0,1,1,34,1,1,0,0,1,0,0,0,0,0,0,0,24.95,894.30,0
59,0,0,0,0,72,1,1,0,1,0,0,0,1,1,1,1,1,107.50,7853.70,0
60,0,0,1,0,47,1,1,0,1,0,0,0,1,0,1,1,1,100.50,4707.10,0
61,1,0,0,0,60,1,1,0,1,0,0,1,0,0,1,0,1,89.90,5450.70,0
62,1,0,1,0,72,0,0,1,0,0,1,1,1,0,0,0,0,42.10,2962.00,0
63,0,0,1,1,18,1,0,1,0,0,0,0,1,1,0,0,1,54.40,957.10,0
64,0,0,0,0,9,1,1,0,1,0,0,0,0,0,1,1,0,94.40,857.25,1
65,0,0,0,0,3,1,0,1,0,0,0,1,0,1,1,1,1,75.30,244.10,0
66,1,0,1,0,47,1,1,0,1,0,0,1,0,0,0,0,1,78.90,3650.35,0
67,0,0,0,0,31,1,0,1,0,0,0,1,1,1,1,1,0,79.20,2497.20,0
68,0,0,1,1,50,1,0,0,0,1,0,0,0,0,0,0,0,20.15,930.90,0
69,1,0,0,0,10,1,0,0,1,0,1,0,1,0,0,0,1,79.85,887.35,0
70,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,49.05,49.05,0
71,0,0,1,1,52,1,0,0,0,1,0,0,0,0,0,0,1,20.40,1090.65,0
72,1,1,1,1,64,1,1,0,1,0,1,0,1,1,1,1,1,111.60,7099.00,0
73,1,0,1,1,62,1,1,0,0,1,0,0,0,0,0,0,1,24.25,1424.60,0
74,0,0,0,1,3,1,0,1,0,0,1,0,0,1,0,1,1,64.50,177.40,0
75,0,1,0,0,56,1,1,0,1,0,1,1,1,0,1,1,0,110.50,6139.50,0
76,0,0,0,0,46,1,0,1,0,0,0,0,0,0,0,1,0,55.65,2688.85,0
77,0,0,1,1,8,1,0,1,0,0,1,1,0,0,0,0,0,54.65,482.25,0
78,1,1,0,0,30,1,0,1,0,0,1,1,0,0,1,1,1,74.75,2111.30,0
79,0,0,1,1,45,1,1,0,0,1,0,0,0,0,0,0,1,25.90,1216.60,0
80,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,79.35,79.35,1
81,0,0,1,1,11,0,0,1,0,0,1,0,0,0,1,1,0,50.55,565.35,0
82,0,0,1,0,7,1,0,0,1,0,0,0,1,0,0,0,1,75.15,496.90,1
83,0,0,0,0,42,1,0,0,1,0,0,1,1,1,1,1,1,103.80,4327.50,0
84,0,0,1,0,49,1,0,0,0,1,0,0,0,0,0,0,1,20.15,973.35,0
85,1,0,0,0,9,1,1,0,1,0,0,1,0,0,1,1,1,99.30,918.75,0
86,0,0,1,0,35,1,0,1,0,0,1,0,0,0,1,0,1,62.15,2215.45,0
87,0,0,1,1,48,1,0,0,0,1,0,0,0,0,0,0,0,20.65,1057.00,0
88,0,0,1,1,46,1,0,0,0,1,0,0,0,0,0,0,1,19.95,927.10,0
89,1,0,1,0,29,0,0,1,0,0,0,0,0,0,1,0,0,33.75,1009.25,0
90,1,0,1,1,30,1,0,0,1,0,0,1,1,0,0,0,0,82.05,2570.20,0
91,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,74.70,74.70,0
92,1,0,1,1,66,1,1,1,0,0,1,0,1,1,1,1,1,84.00,5714.25,0
93,0,0,0,0,65,1,1,0,1,0,1,1,1,0,1,1,1,111.05,7107.00,0
94,1,0,0,0,72,1,1,0,1,0,0,1,1,0,1,1,1,100.90,7459.05,0
95,0,0,0,0,12,1,1,0,1,0,1,0,0,0,0,0,1,78.95,927.35,1
96,1,0,1,1,71,1,1,1,0,0,1,1,0,1,0,0,1,66.85,4748.70,0
97,1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,21.05,113.85,1
98,1,0,0,0,52,1,0,0,0,1,0,0,0,0,0,0,0,21.00,1107.20,0
99,0,1,1,0,25,1,0,0,1,0,0,1,1,0,1,1,1,98.50,2514.50,1
100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,20.20,20.20,0
101,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,19.45,19.45,0
102,1,0,0,0,38,1,1,0,1,0,0,0,1,1,1,0,0,95.00,3605.60,0
103,0,1,1,0,66,0,0,1,0,0,0,1,1,0,1,0,0,45.55,3027.25,0
104,1,0,1,0,68,1,1,0,1,0,0,1,1,1,1,1,1,110.00,7611.85,1
105,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,24.30,100.20,0
106,0,0,1,1,72,1,1,0,1,0,1,1,0,0,1,1,1,104.15,7303.05,0
107,0,0,0,0,32,0,0,1,0,0,1,0,0,0,0,0,0,30.15,927.65,0
108,1,0,0,0,43,1,1,0,1,0,0,0,0,0,1,1,0,94.35,3921.30,0
109,1,0,1,1,72,1,0,0,0,1,0,0,0,0,0,0,0,19.40,1363.25,0
110,1,0,1,0,55,1,1,0,1,0,1,1,0,0,1,0,1,96.75,5238.90,1
111,0,0,0,0,52,1,0,1,0,0,1,0,1,1,0,0,0,57.95,3042.25,0
112,0,0,0,0,43,1,0,0,1,0,0,1,1,0,1,0,1,91.65,3954.10,0
113,0,1,1,0,37,1,1,0,1,0,0,0,0,0,0,0,1,76.50,2868.15,1
114,0,0,1,1,64,0,0,1,0,0,0,1,0,1,1,1,1,54.60,3423.50,0
115,1,0,1,1,3,1,0,0,1,0,1,1,0,0,1,0,0,89.85,248.40,0
116,0,0,0,0,36,0,0,1,0,0,1,0,0,0,0,0,0,31.05,1126.35,0
117,0,0,1,1,10,1,1,0,1,0,1,0,0,0,1,1,1,100.25,1064.65,1
118,0,0,0,0,41,1,0,0,0,1,0,0,0,0,0,0,0,20.65,835.15,0
119,1,0,1,1,27,1,1,0,1,0,0,1,0,1,0,0,1,85.20,2151.60,0
120,0,0,1,1,56,1,1,0,1,0,0,0,1,0,1,1,1,99.80,5515.45,0
121,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,20.70,112.75,0
122,1,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1,74.40,229.55,1
123,0,0,1,1,7,1,0,1,0,0,1,0,0,0,0,0,0,50.70,350.35,0
124,0,0,1,1,4,1,0,0,0,1,0,0,0,0,0,0,0,20.85,62.90,0
125,1,0,0,0,33,1,0,0,1,0,1,0,0,1,1,0,1,88.95,3027.65,0
126,0,1,0,0,27,1,1,0,1,0,0,0,1,0,0,0,1,78.05,2135.50,1
127,1,0,1,0,72,1,1,0,0,1,0,0,0,0,0,0,1,23.55,1723.95,0
128,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,19.75,19.75,0
129,1,1,0,0,71,0,0,1,0,0,1,1,0,0,1,1,1,56.45,3985.35,0
130,0,0,0,0,13,1,1,0,1,0,0,0,0,0,0,1,1,85.95,1215.65,0
131,0,0,1,1,25,0,0,1,0,0,1,1,1,0,1,1,1,58.60,1502.65,1
132,1,0,0,0,67,1,0,1,0,0,0,0,0,1,0,0,0,50.55,3260.10,0
133,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,1
134,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,44.35,81.25,1
135,0,0,0,0,43,1,1,0,0,1,0,0,0,0,0,0,1,25.70,1188.20,0
136,0,0,0,0,23,1,0,0,1,0,1,0,0,0,0,0,1,75.00,1778.50,0
137,0,0,1,1,64,1,0,0,0,1,0,0,0,0,0,0,0,20.20,1277.75,0
138,1,0,0,1,57,1,0,0,0,1,0,0,0,0,0,0,1,19.60,1170.55,0
139,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,70.45,70.45,1
140,0,1,1,1,72,1,1,1,0,0,1,1,1,1,1,1,1,88.05,6425.65,0
141,0,0,0,0,8,1,1,1,0,0,1,0,0,1,0,1,0,71.15,563.65,1
142,0,0,1,0,61,1,1,0,1,0,0,1,0,0,1,1,1,101.05,5971.25,0
143,1,0,0,0,64,1,1,0,1,0,1,1,0,0,0,0,1,84.30,5289.05,0
144,1,1,1,0,71,1,1,0,0,1,0,0,0,0,0,0,0,23.95,1756.20,0
145,0,0,1,1,65,1,1,0,1,0,1,1,0,1,1,0,1,99.05,6416.70,0
146,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,19.60,61.35,0
147,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,45.65,45.65,1
148,1,0,0,1,30,1,0,1,0,0,0,1,1,0,1,0,0,64.50,1929.95,0
149,1,0,1,1,15,1,0,1,0,0,0,1,1,1,0,1,1,69.50,1071.40,0
150,0,0,1,1,8,1,0,1,0,0,0,0,0,1,1,1,1,68.55,564.35,0
151,1,0,0,0,7,1,1,0,1,0,0,0,0,0,1,1,0,95.00,655.50,1
152,0,0,1,1,70,1,1,0,1,0,1,1,1,0,1,1,1,108.15,7930.55,0
